collection_id,time,type,scheduling_class,priority,collection_type
393624745234,1829174088681,2,0,105,0
393624745234,1829192258355,3,0,105,0
393624745234,1829311286091,6,0,105,0
393633283991,1833336929866,1,2,115,0
393633283991,1833340273429,2,2,115,0
393633283991,1833346239120,3,2,115,0
393633283991,1834211219984,6,2,115,0
393639108955,1835407959276,1,2,115,0
393639108955,1835422911953,2,2,115,0
393639108955,1835440637084,3,2,115,0
393639108955,1835489446465,6,2,115,0
393639332209,1835558621191,1,2,115,0
393639332209,1835606063713,2,2,115,0
393639332209,1835613031522,3,2,115,0
393639332209,1835791247563,6,2,115,0
393738564596,1846149332245,0,2,117,0
393738564596,1846174315687,2,2,117,0
393738564596,1846192307359,3,2,117,0
393738564596,1846497230903,6,2,117,0
393903294639,1852787548900,0,2,119,0
393903294639,1852787548906,2,2,119,0
393903294639,1852787644931,3,2,119,0
393903294639,1854733022912,6,2,119,0
393907589160,1854866532993,0,2,117,0
393907589160,1854899971366,2,2,117,0
393907589160,1854953326053,3,2,117,0
393907589160,1855624131827,6,2,117,0
393909502607,1856217338287,0,2,117,0
393909502607,1856254573568,2,2,117,0
393909502607,1856299473936,3,2,117,0
393909502607,1856866684523,6,2,117,0
393914083867,1858914732653,0,2,117,0
393914083867,1858945500140,2,2,117,0
393914083867,1858986437927,3,2,117,0
393914083867,1859689991854,6,2,117,0
393914941136,1859836648207,0,2,117,0
393914941136,1859871315432,2,2,117,0
393914941136,1859906071293,3,2,117,0
393914941136,1860304580046,6,2,117,0
393915687692,1860770626691,0,2,25,0
393915687692,1860770626695,2,2,25,0
393915687692,1860770668699,3,2,25,0
393915687692,1860827127294,6,2,25,0
393924120369,1866980650536,0,2,25,0
393924120369,1866980650544,2,2,25,0
393924120369,1866980760986,3,2,25,0
393924120369,1867959944401,6,2,25,0
393940296100,1876283713398,0,2,118,0
393940296100,1876283713404,2,2,118,0
393940296100,1876283816670,3,2,118,0
393940296100,1883930027213,6,2,118,0
394004561773,1889630503611,0,2,119,0
394004561773,1889630503616,2,2,119,0
394004561773,1889644917125,3,2,119,0
394004561773,1889734023414,6,2,119,0
394031267206,1894300639079,1,2,115,0
394031267206,1896193839879,2,2,115,0
394031267206,1896227458167,3,2,115,0
394031267206,1897190702377,6,2,115,0
394043718383,1897420725244,0,2,117,0
394043718383,1897452283431,2,2,117,0
394043718383,1897479978033,3,2,117,0
394043718383,1899581879822,6,2,117,0
394058797419,1902235283497,1,2,115,0
394058797419,1907637068853,2,2,115,0
394058797419,1907638015525,3,2,115,0
394058797419,1907906856605,6,2,115,0
394074959400,1904704037709,0,2,119,0
394074959400,1904704037714,2,2,119,0
394074959400,1904707866298,3,2,119,0
394074959400,1904898568049,6,2,119,0
394079656739,1906454521578,1,2,115,0
394079656739,1907392239291,2,2,115,0
394079656739,1907401461733,3,2,115,0
394079656739,1907576770429,6,2,115,0
394120552378,1923989187549,1,2,115,0
394120552378,1924166339790,2,2,115,0
394120552378,1924186682173,3,2,115,0
394120552378,1924353772604,6,2,115,0
394122668145,1924532420871,1,2,115,0
394122668145,1924534739581,2,2,115,0
394122668145,1924543886195,3,2,115,0
394122668145,1926614717573,6,2,115,0
394126906122,1926472544937,0,2,115,0
394126906122,1926491748279,1,2,115,0
394126906122,1926796727018,2,2,115,0
394126906122,1926798699405,3,2,115,0
394126906122,1941974752861,6,2,115,0
394130939125,1928526056261,0,2,117,0
394130939125,1928551137485,2,2,117,0
394130939125,1928591551480,3,2,117,0
394130939125,1947099224086,6,2,117,0
394131992459,1929147183126,0,2,117,0
394131992459,1929174479829,2,2,117,0
394131992459,1929190173695,3,2,117,0
394131992459,1930211469303,6,2,117,0
394144920507,1940448462550,0,2,117,0
394144920507,1940476208801,2,2,117,0
394144920507,1940505593749,3,2,117,0
394144920507,1945112618424,6,2,117,0
394160552632,1946165001184,0,2,25,0
394160552632,1946198395376,2,2,25,0
394160552632,1946199248868,3,2,25,0
394160552632,1947112397238,6,2,25,0
394249167909,1952801913046,0,2,119,0
394249167909,1952801913053,2,2,119,0
394249167909,1952802069800,3,2,119,0
394249167909,1954199603454,6,2,119,0
394448707903,1964485396987,0,2,119,0
394448707903,1964485396993,2,2,119,0
394448707903,1964485502261,3,2,119,0
394448707903,1966896348876,6,2,119,0
394677510137,1973660688109,1,2,115,0
394677510137,1974605702627,2,2,115,0
394677510137,1974609524397,3,2,115,0
394677510137,1974708195786,6,2,115,0
394941352979,1985546694548,0,2,119,0
394941352979,1985546694555,2,2,119,0
394941352979,1985546809648,3,2,119,0
394941352979,1998923239279,6,2,119,0
394942915566,1985963407853,0,2,117,0
394942915566,1985989405240,2,2,117,0
394942915566,1985996852158,3,2,117,0
394942915566,1989723287222,6,2,117,0
395046951185,1989922023967,0,2,25,0
395046951185,1989922023971,2,2,25,0
395046951185,1989922587834,3,2,25,0
395046951185,1990180117103,6,2,25,0
395061610163,1990466185440,0,2,117,0
395061610163,1990496219140,2,2,117,0
395061610163,1990530543889,3,2,117,0
395061610163,1991116179349,6,2,117,0
395124327174,1993318993075,0,2,117,0
395124327174,1993349789235,2,2,117,0
395124327174,1993408747698,3,2,117,0
395124327174,1993646763554,6,2,117,0
395124345199,1993341834179,1,0,105,0
395124345199,1993835286376,2,0,105,0
395124345199,1993844099965,3,0,105,0
395124345199,1993946571549,6,0,105,0
395240790618,1998331277762,0,2,117,0
395240790618,1998358574362,2,2,117,0
395240790618,1998365563824,3,2,117,0
395240790618,2008775081885,6,2,117,0
395256597366,2002775623517,1,2,115,0
395256597366,2008706380946,2,2,115,0
395256597366,2008715170927,3,2,115,0
395256597366,2012199522637,6,2,115,0
395282091452,2008750177785,1,2,115,0
395282091452,2008769707175,2,2,115,0
395282091452,2008772282676,3,2,115,0
395282091452,2009387304335,6,2,115,0
395288562247,2009831157980,1,2,115,0
395288562247,2009931663061,2,2,115,0
395288562247,2009940979814,3,2,115,0
395288562247,2013590138677,6,2,115,0
395293118896,2010456984167,0,2,117,0
395293118896,2010485508968,2,2,117,0
395293118896,2010549216230,3,2,117,0
395293118896,2011498604031,6,2,117,0
395303533169,2012864479913,1,0,105,0
395303533169,2012870816048,2,0,105,0
395303533169,2012891752180,3,0,105,0
395303533169,2013342309777,6,0,105,0
395304640614,2013434543840,1,2,115,0
395304640614,2013972625759,2,2,115,0
395304640614,2013981251783,3,2,115,0
395304640614,2014735901321,6,2,115,0
395304657165,2013449177691,1,2,115,0
395304657165,2013972626099,2,2,115,0
395304657165,2013981245835,3,2,115,0
395304657165,2014854530979,6,2,115,0
395307926277,2014149493817,1,2,115,0
395307926277,2014217617041,2,2,115,0
395307926277,2014223610814,3,2,115,0
395307926277,2014583027179,6,2,115,0
395369829715,2030803184280,1,2,115,0
395369829715,2033252665172,2,2,115,0
395369829715,2033253558622,3,2,115,0
395369829715,2035971454293,6,2,115,0
395373034467,2030992471655,1,2,115,0
395373034467,2033558371625,2,2,115,0
395373034467,2033562815851,3,2,115,0
395373034467,2033760287605,6,2,115,0
395377867628,2032512616344,0,2,117,0
395377867628,2032547548117,2,2,117,0
395377867628,2032584275632,3,2,117,0
395377867628,2033207158175,6,2,117,0
